Vintage,Country_id,Points,Price,Name,Varietal_id,Winery
1/1/15,37,93,$35.00,Marimar Estate 2015 Don Miguel Vineyard Estate Grown and Bottled Albariño (Russian River Valley),5,Marimar Estate
1/1/15,37,94,$28.00,Eighty Four 2015 Albariño (Napa Valley),5,Eighty Four
1/1/15,37,89,$17.00,Tangent 2015 Paragon Vineyard Albariño (Edna Valley),5,Tangent
1/1/15,37,90,$16.00,Turkovich 2015 Albariño (Yolo County),5,Turkovich
1/1/15,37,87,$15.00,Klinker Brick 2015 Albariño (Lodi),5,Klinker Brick
1/1/15,37,90,$32.00,Tangent 2015 Stone Egg Paragon Vineyard Albariño (Edna Valley),5,Tangent
1/1/16,37,89,$23.00,Fjord 2016 Albariño (Hudson River Region),5,Fjord
1/1/10,18,89,$55.00,Gualdo del Re 2010 Amansio Passito Aleatico (Val di Cornia Suvereto),6,Gualdo del Re
1/1/06,27,85,$11.00,Adega Cooperativa de Borba 2006 Alfrocheiro (Alentejano),7,Adega Cooperativa de Borba
1/1/13,27,87,$14.00,Terras de Alter 2013 Terra d'Alter Alfrocheiro (Alentejano),7,Terras de Alter
1/1/14,27,86,$14.00,Terras de Alter 2014 Terra d'Alter Alfrocheiro (Alentejano),7,Terras de Alter
1/1/15,27,86,$14.00,Terras de Alter 2015 Terra d'Alter Alfrocheiro (Alentejano),7,Terras de Alter
1/1/15,18,87,$10.00,Marilena Barbera 2015 Ciàfu Alicante (Menfi),8,Marilena Barbera
1/1/05,27,89,$16.00,DFJ Vinhos 2005 Grand'Arte Alicante Bouschet (Estremadura),9,DFJ Vinhos
1/1/06,27,86,$11.00,Adega Cooperativa de Borba 2006 Alicante Bouschet (Alentejano),9,Adega Cooperativa de Borba
1/1/08,27,90,$35.00,Herdade do Esporão 2008 AB Alicante Bouschet (Alentejano),9,Herdade do Esporão
1/1/09,27,93,$75.00,Adega Mayor 2009 Siza Alicante Bouschet (Alentejano),9,Adega Mayor
1/1/12,27,87,$14.00,Adega Cooperativa do Cartaxo 2012 Bridão Colheita Seleccionada Alicante Bouschet (Tejo),9,Adega Cooperativa do Cartaxo
1/1/12,27,92,$150.00,Dona Maria-Júlio Bastos 2012 Júlio B. Bastos Grande Reserva Alicante Bouschet (Alentejo),9,Dona Maria-Júlio Bastos
1/1/12,27,86,,Caves Bonifacio 2012 Alicante Bouschet (Lisboa),9,Caves Bonifacio
1/1/13,27,92,$20.00,Terras de Alter 2013 Terra d'Alter Alicante Bouschet (Alentejano),9,Terras de Alter
1/1/13,27,90,$95.00,Herdade do Rocim 2013 Grande Rocim Reserva Alicante Bouschet (Alentejo),9,Herdade do Rocim
1/1/14,27,90,$15.00,DFJ Vinhos 2014 Grand'Arte Alicante Bouschet (Lisboa),9,DFJ Vinhos
1/1/14,27,92,$20.00,Casa Agricola Alexandre Relvas 2014 Herdade de São Miguel Alicante Bouschet (Alentejano),9,Casa Agricola Alexandre Relvas
1/1/16,27,89,$15.00,DFJ Vinhos 2016 Aluado Alicante Bouschet (Lisboa),9,DFJ Vinhos
1/1/12,11,86,$17.00,Manuel Olivier 2012 Bourgogne Aligoté,10,Manuel Olivier
1/1/13,11,86,$23.00,Alex Gambal 2013 Bourgogne Aligoté,10,Alex Gambal
1/1/14,11,87,$23.00,Olivier Leflaive 2014 Bourgogne Aligoté,10,Olivier Leflaive
1/1/15,11,86,$13.00,Vignerons de Buxy 2015 Buissonnier (Bourgogne Aligoté),10,Vignerons de Buxy
1/1/07,37,87,$13.00,Shooting Star 2007 Aligoté (Washington),10,Shooting Star
1/1/12,37,87,$21.00,Calera 2012 Aligoté (Mt. Harlan),10,Calera
1/1/10,11,90,,Cave de Ribeauvillé 2010 Clos du Zahnacker White (Alsace),11,Cave de Ribeauvillé
1/1/11,11,95,$98.00,Domaine Marcel Deiss 2011 Schoenenbourg Grand Cru White (Alsace),11,Domaine Marcel Deiss
1/1/12,11,85,,Pierre Sparr 2012 One White (Alsace),11,Pierre Sparr
1/1/14,11,86,$12.00,Dopff & Irion 2014 Crustacés White (Alsace),11,Dopff & Irion
1/1/14,11,92,$45.00,Biecher & Schaal 2014 Altenberg de Bergheim Grand Cru White (Alsace),11,Biecher & Schaal
1/1/14,11,87,$13.00,Pierre Sparr 2014 One White (Alsace),11,Pierre Sparr
1/1/14,11,89,$32.00,Domaine Rieflé-Landmann 2014 Steinert Grand Cru White (Alsace),11,Domaine Rieflé-Landmann
1/1/15,11,89,$12.00,Willm 2015 Cuvée Méli-Mélo White (Alsace),11,Willm
1/1/12,11,89,$18.00,Domaine de l'Idylle 2012 Roussette de Savoie,12,Domaine de l'Idylle
1/1/14,11,88,$15.00,Domaine de l'Idylle 2014 Cruet Altesse (Vin de Savoie),12,Domaine de l'Idylle
1/1/98,27,85,$10.00,Quintas de Melgaço 1998 Couto de Frades Alvarinho (Vinho Verde),13,Quintas de Melgaço
1/1/06,27,87,$17.00,Quinta de Serrade 2006 Solar de Serrade Alvarinho (Vinho Verde),13,Quinta de Serrade
1/1/07,27,88,,Casa de Vila Verde 2007 Alvarinho (Vinho Verde),13,Casa de Vila Verde
1/1/09,27,91,,Provam 2009 Portal do Fidalgo Alvarinho (Vinho Verde),13,Provam
1/1/10,27,87,$20.00,Real Companhia Velha 2010 Quinta de Cidrô Alvarinho (Duriense),13,Real Companhia Velha
1/1/11,27,87,$15.00,Bacalhôa Wines of Portugal 2011 Quinta dos Loridos Alvarinho (Lisboa),13,Bacalhôa Wines of Portugal
1/1/12,27,90,$11.00,DFJ Vinhos 2012 Grand'Arte Alvarinho (Lisboa),13,DFJ Vinhos
1/1/13,27,88,$13.00,Aveleda 2013 Alvarinho (Minho),13,Aveleda
1/1/13,27,90,$22.00,Quinta de Soalheiro 2013 Primeiras Vinhas Alvarinho (Vinho Verde),13,Quinta de Soalheiro
1/1/13,27,86,$18.00,Delaforce 2013 Alvarinho (Duriense),13,Delaforce
1/1/13,27,91,$30.00,Aveleda 2013 Reserva da Familia Alvarinho (Minho),13,Aveleda
1/1/14,27,90,,Anselmo Mendes 2014 Muros de Melgaço Alvarinho (Vinho Verde),13,Anselmo Mendes
1/1/14,27,89,$13.00,DFJ Vinhos 2014 Grand'Arte Alvarinho (Lisboa),13,DFJ Vinhos
1/1/14,27,88,,Dom Ponciano 2014 Alvarinho (Vinho Verde),13,Dom Ponciano
1/1/14,27,90,,Quinta de Paços 2014 Casa do Capitão-mor Alvarinho (Vinho Verde),13,Quinta de Paços
1/1/15,27,88,$18.00,Quinta da Calçada 2015 Calçada Terroir Alvarinho (Minho),13,Quinta da Calçada
1/1/15,27,86,$17.00,Conde Villar 2015 Alvarinho (Minho),13,Conde Villar
1/1/15,27,92,$16.00,Provam 2015 Portal do Fidalgo Alvarinho (Vinho Verde),13,Provam
1/1/15,27,90,$20.00,Vila Nova 2015 Alvarinho (Vinho Verde),13,Vila Nova
1/1/15,27,92,$40.00,Quinta de Soalheiro 2015 Reserva Alvarinho (Vinho Verde),13,Quinta de Soalheiro
1/1/15,27,87,$15.00,Quinta de Santiago 2015 Alvarinho (Vinho Verde),13,Quinta de Santiago
1/1/15,27,92,$40.00,Quinta de Soalheiro 2015 Reserva Alvarinho (Vinho Verde),13,Quinta de Soalheiro
1/1/16,27,91,$15.00,Santos & Seixo 2016 Santos da Casa Reserva Alvarinho (Vinho Verde),13,Santos & Seixo
1/1/16,27,89,$16.00,Quinta da Raza 2016 Dom Diogo Alvarinho (Minho),13,Quinta da Raza
1/1/16,37,84,$19.00,Minassian-Young 2016 Alvarinho (Paso Robles),13,Minassian-Young
1/1/14,27,85,$15.00,DFJ Vinhos 2014 Scancio Branco Reserva Alvarinho-Chardonnay (Lisboa),14,DFJ Vinhos
1/1/09,27,90,$20.00,Quinta do Quetzal 2009 Guadalupe Selection Branco Antão Vaz (Alentejano),15,Quinta do Quetzal
1/1/14,27,87,$20.00,Ribafreixo 2014 Pato Frio Grand Escolha Antão Vaz (Alentejano),15,Ribafreixo
1/1/15,27,87,$20.00,Ribafreixo 2015 Pato Frio Grand Escolha Antão Vaz (Alentejano),15,Ribafreixo
1/1/05,27,87,,Cortes de Cima 2005 Aragonez AragonÃªs (Alentejano),16,Cortes de Cima
1/1/07,27,90,$50.00,Herdade da Malhadinha Nova 2007 AragonÃªs da Peceguina AragonÃªs (Alentejano),16,Herdade da Malhadinha Nova
1/1/13,27,91,$14.00,Terras de Alter 2013 Terra d'Alter AragonÃªs (Alentejano),16,Terras de Alter
1/1/10,27,86,$14.00,Quinta de Chocapalha 2010 Arinto Arinto (Lisboa),17,Quinta de Chocapalha
1/1/11,27,87,,Coteaux da Murta 2011 Quinta da Murta Espumante Brut Nature Arinto (Bucelas),17,Coteaux da Murta
1/1/12,27,88,$25.00,Caves Velhas 2012 Bucellas Arinto (Bucelas),17,Caves Velhas
1/1/12,27,90,$34.00,Adega de Cantanhede 2012 MarquÃªs de Marialva Grande Reserva Arinto (Bairrada),17,Adega de Cantanhede
1/1/13,27,91,$20.00,Quinta da Romeira 2013 Morgado de Santa Catherina Reserva Arinto (Bucelas),17,Quinta da Romeira
1/1/13,27,85,$8.00,DFJ Vinhos 2013 Paxis Branco Arinto (Lisboa),17,DFJ Vinhos
1/1/13,27,87,$13.00,Quinta da Raza 2013 Dom Diogo Arinto (Vinho Verde),17,Quinta da Raza
1/1/13,27,87,$13.00,Casa de Vilacetinho 2013 Colheita Seleccionada Arinto (Vinho Verde),17,Casa de Vilacetinho
1/1/13,27,88,$17.00,Coteaux da Murta 2013 Quinta da Murta Arinto (Bucelas),17,Coteaux da Murta
